French,English
chercher,search
seulement,only
pensais,thought
aide,help
demande,request
mois,month
laisser,let
car,because
mettre,to put
laisse,leash
eux,them
ville,city
chaque,each
longtemps,long time
vont,will
pendant,while
place,square
parle,speak
compris,understood
savais,knew
étaient,were
pourrais,could
affaire,case
donner,give
donné,given
endroit,place
yeux,eyes
façon,way
écoute,listen
dont,whose
trouve,find
perdu,lost
côté,side
sois,be
tiens,here
enfant,child
point,point
devant,in front of
vers,towards
belle,beautiful
droit,law
cause,cause
espère,hope
eau,water
attendez,Wait
nouvelle,new
boulot,job
arrêter,Stop
dirait,would say
donne,given
loin,far
croire,believe
plutôt,rather
aura,will have
filles,girls
